sid,init_time,lat0,lon0,split,stamp
2016185N08145,2016-07-04,11.6,142.0,patch,2016070400
2016211N11128,2016-07-31,17.3,123.39999999999998,patch,2016073100
2016221N19163,2016-08-11,20.0,153.39999999999998,patch,2016081100
2016228N22117,2016-08-19,20.5,107.7,patch,2016081900
2016230N25160,2016-08-21,29.9,134.3,patch,2016082100
2016230N25160,2016-08-28,26.1,136.7,patch,2016082800
2016253N13144,2016-09-11,16.5,135.8,patch,2016091100
2016256N12146,2016-09-16,20.2,124.7,patch,2016091600
2016265N10150,2016-09-27,23.3,123.10000000000002,patch,2016092700
2016269N15165,2016-10-04,27.9,126.2,patch,2016100400
2016279N19130,2016-10-08,21.2,116.60000000000002,patch,2016100800
2016279N19130,2016-10-12,16.8,112.3,patch,2016101200
2016287N12131,2016-10-18,18.7,110.7,patch,2016101800
2016305N10147,2016-11-05,17.2,139.89999999999998,patch,2016110500
2016355N07146,2016-12-24,13.1,128.89999999999998,patch,2016122400
2017008N08128,2017-01-12,10.5,113.2,patch,2017011200
2017161N13119,2017-06-11,16.5,117.0,patch,2017061100
2017202N16116,2017-07-22,17.9,112.7,patch,2017072200
2017201N23178,2017-07-25,32.9,156.5,patch,2017072500
2017200N26162,2017-07-28,29.6,145.3,patch,2017072800
2017200N26162,2017-08-01,23.6,138.2,patch,2017080100
2017200N26162,2017-08-05,29.6,130.3,patch,2017080500
2017223N16172,2017-08-16,31.5,163.60000000000002,patch,2017081600
2017239N18147,2017-09-01,27.2,142.2,patch,2017090100
2017252N14147,2017-09-12,21.4,130.60000000000002,patch,2017091200
2017252N14147,2017-09-16,28.6,126.0,patch,2017091600
2017288N09138,2017-10-20,18.9,130.0,patch,2017102000
2017292N13151,2017-10-26,17.8,132.7,patch,2017102600
2017307N07102,2017-11-06,7.5,102.60000000000002,patch,2017110600
2017347N11131,2017-12-15,11.6,127.89999999999998,patch,2017121500
2017347N11131,2017-12-22,5.5,106.8,patch,2017122200
2018039N08151,2018-02-11,6.6,137.39999999999998,patch,2018021100
2018082N04147,2018-03-28,12.3,135.5,patch,2018032800
2018129N15153,2018-05-13,19.4,146.5,patch,2018051300
2018155N10132,2018-06-10,25.3,130.7,patch,2018061000
2018179N19134,2018-07-03,32.0,128.3,patch,2018070300
2018184N10147,2018-07-10,24.0,127.2,patch,2018071000
2018199N18128,2018-07-20,22.6,131.0,patch,2018072000
2018202N21159,2018-07-23,25.2,159.60000000000002,patch,2018072300
2018204N15137,2018-07-27,25.0,142.5,patch,2018072700
2018204N15137,2018-08-02,28.6,127.0,patch,2018080200
2018213N12245,2018-08-05,14.3,-134.1,patch,2018080500
2018218N18134,2018-08-08,19.3,132.60000000000002,patch,2018080800
2018218N18134,2018-08-11,25.0,129.5,patch,2018081100
2018218N18134,2018-08-13,30.5,119.3,patch,2018081300
2018221N17112,2018-08-15,20.7,112.10000000000002,patch,2018081500
2018227N11145,2018-08-18,24.6,140.10000000000002,patch,2018081800
2018227N11145,2018-08-22,30.4,127.7,patch,2018082200
2018239N11161,2018-08-28,15.2,157.10000000000002,patch,2018082800
2018250N12170,2018-09-09,15.2,154.8,patch,2018090900
2018250N12170,2018-09-13,14.5,131.3,patch,2018091300
2018263N12146,2018-09-26,20.6,129.0,patch,2018092600
2018271N06154,2018-10-01,15.6,135.89999999999998,patch,2018100100
2018294N08161,2018-10-24,13.3,148.0,patch,2018102400
